,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Eccles Street,1,3,0,0,0,2,6,9,7,5,4,0,3,5,6,5,3,2,3
Mater Hospital,17,15,11,10,7,26,23,26,29,31,28,27,28,25,25,24,23,24,25
Blessington Street,0,0,1,0,2,2,2,2,4,0,0,0,1,0,0,1,0,1,2
Merrion Square West,16,14,20,18,20,19,20,20,17,18,18,19,20,20,20,20,20,19,19
Convention Centre,0,0,2,2,1,3,3,2,2,1,2,2,3,2,3,3,3,3,4
Hardwicke Street,0,1,2,2,0,1,0,1,1,1,0,3,3,0,1,0,0,1,0
Smithfield,3,4,8,8,7,7,19,11,10,17,18,26,30,30,26,23,23,21,23
Dame Street,12,15,16,11,12,13,12,14,13,15,16,14,14,16,16,16,16,16,15
Sandwith Street,30,32,31,30,27,25,27,28,33,34,32,31,29,27,28,28,28,32,27
Princes Street / O'Connell Street,23,23,23,21,16,23,22,20,17,13,9,21,19,22,21,20,21,20,19
Grattan Street,1,2,1,1,1,2,2,3,3,5,1,0,0,4,4,4,5,5,6
St James Hospital (Luas),0,0,2,1,0,0,0,1,0,1,0,1,1,2,2,1,2,3,4
Bolton Street,19,20,20,20,20,19,20,18,20,19,18,17,15,16,14,14,10,10,10
Strand Street Great,35,35,33,34,34,34,34,32,29,27,27,25,25,28,30,31,31,31,30
Barrow Street,3,0,0,2,8,7,11,15,32,32,35,39,37,35,34,34,30,31,32
Mountjoy Square West,2,2,0,0,3,3,0,0,0,1,20,12,11,14,11,8,5,10,14
Wilton Terrace,0,0,2,6,3,6,5,5,4,9,7,7,7,6,7,3,6,8,12
Leinster Street South,30,29,24,28,26,27,25,17,15,9,3,3,1,0,0,2,2,2,0
James Street,8,7,0,14,14,8,6,5,5,4,4,1,2,1,6,9,9,8,8
Parkgate Street,20,18,20,27,22,17,12,16,15,12,10,9,4,5,5,5,6,5,6
Heuston Bridge (South),21,21,22,25,24,24,25,25,24,24,24,20,19,20,20,20,19,22,21
Cathal Brugha Street,17,16,19,20,19,19,17,19,17,16,20,20,20,19,16,16,15,13,14
Rothe Abbey,1,0,1,0,0,4,4,3,3,3,5,5,5,4,4,4,4,2,3
Upper Sherrard Street,5,5,7,2,1,1,0,3,7,6,0,0,1,3,4,6,3,8,9
Fitzwilliam Square East,2,3,2,0,1,0,1,0,0,0,0,0,0,4,4,4,4,4,4
Harcourt Terrace,2,3,2,0,1,0,0,1,3,2,2,3,3,4,5,5,5,3,3
Jervis Street,21,21,20,20,21,21,21,14,15,15,21,21,21,20,21,21,21,15,11
Ormond Quay Upper,28,29,28,29,29,27,29,29,29,13,14,17,21,25,24,28,29,28,28
Emmet Road,4,0,2,3,2,4,5,5,2,0,0,1,1,5,5,5,5,5,9
Heuston Bridge (North),25,25,25,26,26,26,27,29,30,28,29,29,29,33,32,33,33,33,36
Blackhall Place,6,4,0,0,1,2,2,5,6,7,7,11,21,25,22,19,21,24,24
